91	81	78	59
108	97	94	61
90	86	64	56
93	88	70	66
103	97	77	32
97	78	74	71
98	86	85	60
102	77	69	57
95	90	65	45
112	95	81	68
96	77	66	59
110	90	79	56
87	78	63	57
113	72	71	64
112	101	88	80
70	67	57	33
86	85	83	65
90	65	64	35
76	73	68	39
96	84	61	35
99	95	84	57
101	89	67	57
89	79	65	41
102	86	79	25
92	91	60	48
76	57	55	39
89	89	70	65
98	92	57	42
91	91	66	66
83	80	67	49
100	93	81	58
105	63	61	38
104	69	61	50
110	101	101	82
95	67	56	30
88	75	73	65
108	84	74	69
94	78	71	70
97	84	67	58
97	71	69	37
99	98	59	56
102	93	85	66
85	66	62	54
99	90	85	59
86	84	63	37
108	74	67	63
105	62	58	26
108	87	79	55
94	88	59	58
94	78	77	64
