96	85	62	52
109	104	99	78
103	90	89	84
116	98	93	84
97	73	68	42
117	88	63	57
120	100	94	53
91	90	66	28
117	113	69	61
115	102	53	36
109	109	103	96
133	98	95	79
117	87	87	62
108	100	97	84
125	105	103	88
123	109	101	89
113	111	63	36
125	106	97	83
118	101	100	96
112	106	105	70
115	90	71	66
119	114	98	42
85	82	75	65
125	88	87	56
122	118	112	48
107	90	87	86
119	112	71	40
121	103	90	37
106	105	96	80
119	95	88	81
110	109	80	38
112	110	87	82
105	104	100	48
98	89	88	19
94	91	91	81
131	101	98	96
125	101	100	54
118	111	106	97
117	108	100	96
113	105	94	62
112	80	63	40
111	100	90	80
111	107	99	92
118	98	74	74
106	97	80	60
116	84	84	63
109	98	96	75
122	111	90	49
121	88	81	33
117	95	94	93
105	83	80	74
100	75	47	45
124	79	75	25
115	99	98	49
102	94	91	87
117	107	94	65
122	90	84	32
120	109	88	74
117	111	97	47
121	96	90	64
129	96	90	87
120	99	96	93
100	95	88	72
118	106	103	82
104	97	94	66
119	89	77	62
98	98	74	70
115	97	89	87
109	105	99	48
120	101	95	77
102	97	66	64
118	99	92	37
93	68	63	40
107	104	59	45
120	110	95	18
107	87	82	72
117	97	80	30
118	110	107	92
110	101	74	59
117	79	61	29
123	93	92	46
98	92	87	81
102	87	85	82
99	86	83	65
111	108	100	72
126	91	89	60
120	118	84	41
139	114	65	55
113	99	93	92
109	105	82	45
121	98	88	62
111	98	93	89
105	101	81	32
107	85	74	71
116	108	93	85
103	86	77	51
131	99	88	46
123	114	103	72
119	106	105	86
128	101	92	82
115	111	100	83
132	124	90	78
122	101	60	54
129	90	89	76
97	96	81	58
114	109	85	70
107	93	78	75
114	102	83	38
124	109	79	61
134	111	66	52
125	111	95	93
104	101	76	61
112	90	80	58
120	100	71	59
107	103	96	79
120	103	82	81
120	102	79	66
115	114	112	107
125	90	86	83
120	105	97	85
125	119	91	87
122	96	83	64
123	119	95	79
109	99	84	59
115	110	103	23
125	116	106	95
118	113	110	95
122	107	104	95
121	82	76	71
114	97	93	75
98	98	82	64
122	94	91	87
99	91	87	8
118	107	90	39
115	103	84	80
115	105	105	89
111	102	87	71
123	109	108	108
119	104	97	86
122	95	37	36
127	118	98	81
124	104	74	41
115	103	100	3
125	119	103	93
125	122	92	45
119	84	67	63
127	115	94	38
124	122	111	68
144	101	94	69
119	110	96	84
125	102	86	66
116	99	94	87
108	96	95	12
125	121	97	77
121	99	92	33
102	99	88	84
128	106	93	83
116	106	94	80
113	112	94	62
125	105	105	98
132	109	104	80
112	98	96	88
126	107	93	54
134	104	94	76
110	73	71	58
116	111	92	92
112	111	93	54
114	87	77	68
121	108	100	97
98	85	75	58
120	97	89	81
114	110	86	48
126	93	89	36
121	91	89	57
127	100	95	71
118	97	87	3
115	106	94	93
108	88	88	69
119	115	101	30
86	83	83	2
117	102	65	62
119	105	98	59
109	108	104	91
122	86	75	64
110	89	86	38
99	97	92	74
98	97	96	69
110	96	69	68
120	95	95	91
112	103	99	84
110	105	85	73
119	117	110	99
129	120	95	56
116	100	86	39
118	114	114	109
108	84	73	17
120	106	80	43
106	73	68	60
117	95	90	74
133	105	91	83
127	87	71	28
120	105	97	88
114	111	99	98
111	95	91	89
124	107	102	97
114	99	91	70
114	86	86	73
117	97	96	76
102	100	83	52
106	101	93	88
116	100	80	59
120	93	47	42
130	102	96	75
129	85	71	52
120	109	20	5
116	78	52	41
123	112	93	91
115	111	105	103
129	100	99	69
97	87	86	25
124	97	81	79
132	106	92	83
115	48	25	8
116	76	74	59
125	98	91	81
101	100	88	12
111	107	84	71
105	100	84	58
109	101	92	60
132	125	64	38
123	117	114	84
121	67	54	28
121	101	87	20
121	107	87	29
119	109	53	33
113	95	83	83
104	96	93	78
113	113	80	48
116	100	75	66
119	115	98	71
108	93	88	78
113	89	45	28
114	96	89	74
123	92	90	87
118	94	77	54
108	96	86	69
126	93	81	30
113	107	104	102
120	106	87	69
121	117	99	77
