92	90	76	48
119	85	81	0
89	78	77	75
117	102	99	73
106	94	93	88
115	105	94	69
98	92	88	38
99	96	72	56
103	91	91	85
105	102	99	78
127	94	65	37
114	102	98	97
115	113	109	76
111	97	73	17
111	94	58	51
130	109	99	91
127	88	85	22
109	104	90	80
120	95	83	57
106	85	80	21
107	104	100	86
120	100	87	24
123	106	82	32
106	74	60	55
103	96	91	84
104	100	95	80
101	98	66	62
100	93	80	72
116	113	102	94
88	69	64	52
91	83	56	33
120	104	95	82
105	102	84	41
114	99	90	84
103	102	92	89
105	100	96	67
110	104	104	52
90	71	65	60
131	92	79	58
103	90	90	89
124	100	90	79
127	101	88	88
105	96	58	52
100	91	91	74
131	106	91	65
117	103	96	92
111	110	94	80
105	96	89	82
128	118	102	98
121	100	96	92
114	86	81	4
121	100	96	48
102	97	60	56
110	105	89	58
106	104	91	75
127	118	106	105
125	102	88	85
104	95	78	62
100	80	80	70
109	98	92	83
118	107	71	51
115	103	87	84
99	94	91	61
118	111	64	33
114	110	106	96
121	90	78	75
113	108	104	102
128	82	63	44
112	73	62	36
95	94	94	88
97	91	76	70
103	70	68	55
124	97	92	38
125	118	101	91
103	65	64	62
101	101	77	64
113	100	62	29
115	99	97	95
110	104	78	60
111	110	93	90
118	93	75	60
116	92	92	66
125	111	64	63
142	95	94	83
116	97	93	90
106	105	91	74
118	95	95	77
117	110	108	47
117	97	94	29
117	103	92	91
105	100	85	78
123	114	112	34
124	117	103	97
124	119	89	78
122	103	92	89
105	103	91	36
122	93	88	55
117	103	99	44
123	101	99	81
101	90	53	16
110	92	61	60
102	79	77	60
119	91	52	19
111	93	92	85
121	117	102	93
108	81	73	56
118	106	81	54
118	105	73	60
116	113	93	64
125	116	100	59
120	74	73	67
111	105	90	77
123	98	85	44
94	86	64	48
118	102	86	75
116	98	96	92
97	84	84	75
126	100	94	24
99	94	64	59
112	104	104	94
109	99	94	65
104	95	88	79
96	71	43	27
112	102	92	85
94	93	88	56
99	84	79	47
97	83	45	36
114	97	93	86
110	106	78	30
122	115	75	56
121	104	94	79
101	92	83	61
114	76	38	36
120	113	107	90
114	112	107	98
125	104	89	83
107	68	33	21
119	71	56	1
105	85	50	27
122	106	99	53
120	114	81	62
111	111	103	102
101	97	85	68
119	96	57	52
106	80	78	42
124	121	109	96
103	88	75	37
120	89	63	60
126	121	99	52
113	110	91	56
110	109	101	98
114	107	86	69
125	92	83	62
112	109	52	27
114	103	87	69
120	113	101	86
106	99	62	61
104	94	71	58
113	105	103	88
101	98	98	47
129	108	65	50
115	94	86	69
114	95	84	77
112	106	97	73
117	93	87	87
121	114	110	72
118	96	93	91
94	93	90	90
109	93	89	88
120	90	85	72
110	97	93	93
112	110	80	30
105	104	69	56
97	92	76	57
108	76	67	26
114	105	73	50
111	89	87	83
123	90	86	24
93	83	47	31
102	91	90	61
115	81	76	37
105	95	93	32
80	70	66	61
113	104	102	75
108	91	88	27
117	109	105	70
125	83	78	32
106	90	81	37
106	98	81	67
129	105	35	25
131	92	92	90
119	119	99	48
110	91	77	68
101	90	84	52
127	97	92	90
109	96	86	76
112	82	68	56
127	116	105	105
113	93	72	63
114	105	88	64
116	109	86	77
123	92	70	36
109	102	94	86
121	99	96	76
115	105	100	38
125	94	82	82
99	96	87	63
107	102	97	93
106	99	90	64
128	108	88	52
97	87	72	56
125	70	56	49
123	119	92	84
117	108	102	90
112	87	76	70
101	101	81	69
102	101	95	58
117	101	101	97
116	112	85	75
87	75	69	21
123	116	80	53
117	100	94	56
99	93	92	73
126	102	101	90
115	108	105	94
103	84	62	30
114	97	88	59
99	90	70	66
112	108	90	78
117	98	89	67
119	81	79	76
123	106	104	75
105	90	90	43
107	104	95	55
115	90	69	44
109	95	50	12
113	101	92	81
122	101	95	28
116	95	87	74
99	97	96	83
116	69	51	45
126	90	72	68
126	115	104	92
118	117	110	107
117	104	92	90
105	82	39	30
104	94	41	28
113	111	100	85
123	113	84	81
115	105	97	94
