wi	Errortotal
-1.0841457859534671	10120.444028914462
-1.3887475614426952	1956.1398681188082
-1.408096978565497	1856.3402062525033
-1.432070493518086	1773.6034369013157
-1.4657014996394364	1760.1030376011927
-1.4848217573529807	1727.7216722317908
-1.497099015820328	1696.699183093404
-1.510390526585014	1651.9466955453317
-1.517423265368698	1632.803187529076
-1.5214519395033006	1637.1313014887496
-1.5247765960684883	1599.7821604082758
-1.5276577321649407	1588.023332562317
-1.5310159460471504	1554.5330615487485
-1.5339991355630314	1548.3779730537751
-1.5383042489178027	1535.6832964347939
-1.5441772647886656	1519.5775636731662
-1.5501619391080226	1509.6732736884942
-1.5550596683758118	1486.7316813028226
-1.5598953300311453	1465.3119322085136
-1.5650996719922499	1458.3836859771868
