Epoch	Errortotal
0	10120.444028914462
1	1956.1398681188082
2	1856.3402062525033
3	1773.6034369013157
4	1760.1030376011927
5	1727.7216722317908
6	1696.699183093404
7	1651.9466955453317
8	1632.803187529076
9	1637.1313014887496
10	1599.7821604082758
11	1588.023332562317
12	1554.5330615487485
13	1548.3779730537751
14	1535.6832964347939
15	1519.5775636731662
16	1509.6732736884942
17	1486.7316813028226
18	1465.3119322085136
19	1458.3836859771868
