121	110	100	68
120	97	92	55
114	103	102	97
103	99	67	65
134	119	90	20
112	85	82	63
94	91	78	77
116	112	73	25
128	96	80	70
128	103	70	58
103	99	87	49
140	112	72	61
113	78	71	50
128	101	91	65
100	97	96	75
115	104	97	87
104	102	102	78
111	101	90	73
114	104	89	53
110	108	53	37
99	91	80	63
117	113	93	62
109	92	87	81
123	84	81	48
123	109	97	96
116	110	105	27
123	93	89	88
116	104	92	73
101	98	91	90
128	88	86	33
114	101	95	69
129	122	102	95
105	104	85	78
129	105	104	72
114	110	104	99
116	114	110	85
118	101	93	42
123	104	98	82
119	92	85	40
132	111	94	58
133	101	57	31
95	91	88	56
99	87	67	39
110	90	88	84
132	105	88	86
112	108	97	88
131	79	62	28
114	89	85	29
118	118	93	87
114	110	109	95
117	94	85	76
128	128	109	78
118	92	81	75
108	108	107	64
110	106	104	65
106	100	87	80
139	114	98	96
117	113	64	53
126	109	107	107
111	101	98	77
132	107	102	90
121	110	101	41
130	98	92	69
109	97	87	60
108	90	89	64
130	101	98	83
125	116	84	65
116	104	100	82
119	104	80	68
123	102	77	43
127	113	98	90
113	112	102	83
111	110	105	56
126	86	85	75
99	94	69	49
142	112	97	92
105	104	78	68
116	109	95	88
117	101	81	80
118	117	82	67
99	96	89	26
121	106	98	56
123	99	94	44
117	95	57	33
105	101	93	78
108	96	94	88
109	93	90	37
125	100	95	19
122	93	92	87
135	115	95	84
102	95	90	89
115	94	80	54
112	100	95	92
111	110	82	61
106	89	84	71
116	97	94	78
125	94	89	56
114	103	97	74
114	78	75	67
123	97	79	61
113	104	95	75
107	101	99	79
120	72	69	47
102	95	75	31
122	106	103	87
126	93	83	79
124	108	106	106
125	109	73	13
121	97	96	70
127	92	80	36
114	109	75	22
110	103	67	66
125	101	84	54
117	98	94	79
121	111	47	36
125	114	87	83
125	109	109	108
137	110	101	88
123	116	86	72
125	107	86	27
110	105	79	70
112	103	92	86
104	93	81	37
109	103	102	82
127	98	89	80
127	114	101	100
121	106	59	34
126	102	98	75
121	91	85	64
109	89	67	65
113	82	78	43
115	107	95	87
116	109	90	37
136	108	90	89
133	90	87	45
120	114	101	99
108	103	63	57
125	111	85	79
107	104	94	67
121	86	60	35
125	109	96	84
111	88	85	65
114	110	105	55
113	82	74	21
128	106	99	92
115	105	105	90
112	103	73	46
122	94	87	86
106	103	101	74
112	107	98	93
128	87	79	67
116	113	86	70
116	111	92	86
119	110	83	75
110	98	93	81
129	98	90	85
121	120	94	24
124	98	82	73
108	102	99	68
125	93	81	78
114	104	97	92
128	80	77	75
121	98	93	30
116	93	88	73
111	103	99	87
116	97	91	57
115	96	94	68
99	98	97	90
129	90	77	68
122	118	96	81
100	97	73	58
129	98	77	71
110	109	82	69
110	86	68	57
121	113	83	34
119	114	109	45
120	115	82	79
97	86	62	61
100	97	78	72
123	116	86	77
109	103	85	79
114	110	91	79
103	101	91	67
115	105	102	77
100	82	81	73
124	83	61	46
103	103	97	95
137	114	82	65
122	78	74	49
122	116	65	15
118	99	77	42
128	108	96	53
119	99	84	82
117	107	90	83
121	98	80	33
98	98	78	61
131	89	56	43
123	98	98	84
118	114	114	113
119	105	78	63
120	120	91	7
115	88	76	65
120	87	85	71
98	92	86	65
118	97	95	89
119	105	95	89
115	97	87	67
122	116	111	81
127	113	93	80
93	87	85	31
119	117	94	91
124	105	78	42
126	96	75	74
118	92	74	70
125	108	95	49
119	91	85	48
119	108	84	55
117	98	80	10
119	115	112	68
117	93	80	56
107	103	102	61
131	109	101	81
114	106	95	93
101	100	99	77
100	90	89	63
111	106	87	82
121	98	96	55
124	108	97	84
123	88	73	39
104	98	87	81
123	76	71	44
122	86	51	50
113	112	91	86
107	107	106	84
119	109	92	73
112	106	99	80
121	107	92	78
102	89	89	79
119	112	89	80
118	102	98	82
110	80	70	56
95	91	86	71
104	96	88	88
116	92	78	61
132	126	92	51
123	112	86	76
125	111	107	79
130	97	92	10
127	94	94	89
117	109	98	85
