[0.678, 0.09, 0.075, 1.696, 1.277, 0.117, 2.336, 0.493, 20.624, 44.064, 0.688, 1.0, -0.402, 0.277, 0.203, 0.336, 0.085]
[2.155, 0.131, 0.087, 1.474, 0.158, 0.412, 1.93, 0.316, 11.08, 51.918, 0.706, 0.442, -1.194, 0.136, -0.54, -0.173, -0.065]
[1.973, 0.052, 0.083, 0.931, 0.226, 0.696, 1.444, 0.045, 20.255, 45.388, 0.231, 0.695, 0.251, 0.524, -0.016, 0.48, -0.755]
[2.143, 0.105, 0.066, 1.378, 0.75, 0.415, 0.566, 0.193, 27.023, 52.2, 0.307, 0.595, -1.175, 0.113, -0.273, 0.538, -0.589]
[1.103, 0.09, 0.009, 1.021, 1.088, 0.198, 0.994, 0.006, 10.151, 46.461, 0.767, 0.913, -0.069, 0.344, 0.027, -0.218, -0.797]
[1.586, 0.108, 0.049, 1.971, 1.907, 0.571, 0.196, 0.089, 25.476, 51.441, 0.043, 0.069, -0.596, 0.165, -0.473, 0.545, -0.488]
[1.091, 0.122, 0.078, 1.009, 1.424, 0.661, 1.647, 0.075, 25.037, 44.379, 0.624, 0.215, -1.651, 0.192, -0.423, -0.543, -0.497]
[2.442, 0.07, 0.024, 1.813, 0.873, 0.017, 0.258, 0.142, 21.753, 49.514, 0.887, 0.175, 0.264, 0.588, -0.28, 0.196, -0.65]
[1.631, 0.114, 0.129, 1.143, 1.197, 0.835, 0.519, 0.31, 16.255, 47.398, 0.256, 0.344, -0.479, -0.362, -0.056, 0.327, -0.911]
[0.926, 0.113, 0.009, 1.605, 0.591, 0.339, 1.03, 0.19, 17.913, 50.776, 0.22, 0.631, -1.452, 0.444, -0.182, -0.57, -0.55]
[1.103, 0.124, 0.009, 1.495, 0.369, 0.475, 0.653, 0.006, 10.151, 45.512, 0.767, 0.913, -0.237, 0.259, -0.184, -0.218, -0.797]
[1.595, 0.09, 0.106, 1.021, 1.088, 0.198, 0.994, 0.458, 23.867, 46.461, 0.149, 0.719, -0.069, 0.344, 0.027, 0.514, -0.915]
[3.594, 0.085, 0.141, 1.336, 1.647, 0.657, 2.537, 0.196, 20.951, 48.259, 0.7, 0.756, 0.913, -0.233, 0.409, 0.19, -0.938]
[2.317, 0.035, 0.1, 1.219, 0.147, 0.452, 2.649, 0.188, 25.407, 49.461, 0.786, 0.953, 0.44, -0.1, 0.268, 0.093, -0.465]
[2.442, 0.07, 0.024, 1.143, 0.873, 0.017, 0.519, 0.31, 16.255, 47.398, 0.887, 0.175, -0.479, 0.588, -0.28, 0.327, -0.911]
[1.631, 0.114, 0.129, 1.813, 1.197, 0.835, 0.258, 0.142, 21.753, 49.514, 0.256, 0.344, 0.264, -0.362, -0.056, 0.196, -0.65]
[2.155, 0.052, 0.083, 0.931, 0.158, 0.412, 1.93, 0.316, 11.08, 51.918, 0.706, 0.442, 0.251, 0.136, -0.54, 0.48, -0.755]
[1.973, 0.131, 0.087, 1.474, 0.226, 0.696, 1.444, 0.045, 20.255, 45.388, 0.231, 0.695, -1.194, 0.524, -0.016, -0.173, -0.065]
[1.007, 0.084, 0.07, 1.916, 1.655, 0.62, 0.359, 0.111, 21.732, 48.695, 0.693, 0.215, -0.099, 0.559, 0.071, -0.206, 0.047]
[3.928, 0.062, 0.053, 0.592, 1.232, 0.945, 0.517, 0.396, 10.921, 51.112, 0.187, 0.034, 0.054, -0.453, -0.397, 0.355, -0.562]
