[1.103, 0.09, 0.009, 1.021, 1.088, 0.198, 0.994, 0.006, 10.151, 46.461, 0.767, 0.913, -0.069, 0.344, 0.027, -0.218, -0.797]
[1.595, 0.124, 0.106, 1.495, 0.369, 0.475, 0.653, 0.458, 23.867, 45.512, 0.149, 0.719, -0.237, 0.259, -0.184, 0.514, -0.915]
[2.317, 0.035, 0.1, 1.336, 1.647, 0.657, 2.537, 0.196, 25.407, 48.259, 0.7, 0.953, 0.913, -0.233, 0.409, 0.093, -0.465]
[2.442, 0.07, 0.024, 1.813, 0.873, 0.017, 0.258, 0.142, 21.753, 49.514, 0.887, 0.175, 0.264, 0.588, -0.28, 0.196, -0.65]
[1.973, 0.052, 0.083, 0.931, 0.226, 0.696, 1.444, 0.045, 20.255, 45.388, 0.231, 0.695, 0.251, 0.524, -0.016, 0.48, -0.755]
[3.928, 0.084, 0.07, 0.592, 1.655, 0.945, 0.359, 0.396, 10.921, 51.112, 0.187, 0.215, 0.054, 0.559, -0.397, -0.206, -0.562]
[1.586, 0.108, 0.049, 1.971, 1.907, 0.571, 0.196, 0.089, 25.476, 51.441, 0.043, 0.069, -0.596, 0.165, -0.473, 0.545, -0.488]
[1.611, 0.11, 0.009, 0.051, 0.311, 0.737, 1.523, 0.143, 13.844, 51.158, 0.404, 0.631, 0.765, 0.541, -0.062, 0.144, -0.918]
[1.631, 0.114, 0.129, 1.143, 1.197, 0.835, 0.519, 0.31, 16.255, 47.398, 0.256, 0.344, -0.479, -0.362, -0.056, 0.327, -0.911]
[1.091, 0.122, 0.078, 1.009, 1.424, 0.661, 1.647, 0.075, 25.037, 44.379, 0.624, 0.215, -1.651, 0.192, -0.423, -0.543, -0.497]
[2.143, 0.105, 0.066, 1.378, 0.75, 0.415, 0.566, 0.193, 27.023, 52.2, 0.307, 0.595, -1.175, 0.113, -0.273, 0.538, -0.589]
[1.007, 0.062, 0.053, 1.916, 1.232, 0.62, 0.517, 0.111, 21.732, 48.695, 0.693, 0.034, -0.099, -0.453, 0.071, 0.355, 0.047]
[0.678, 0.09, 0.075, 1.696, 1.277, 0.117, 2.336, 0.493, 20.624, 44.064, 0.688, 1.0, -0.402, 0.277, 0.203, 0.336, 0.085]
[1.884, 0.109, 0.137, 1.461, 1.799, 0.925, 2.057, 0.375, 19.173, 48.896, 0.31, 0.512, -0.516, 0.173, 0.264, 0.115, -0.847]
[1.742, 0.051, 0.027, 1.239, 1.865, 0.485, 1.027, 0.354, 13.885, 52.751, 0.009, 0.603, 0.273, -0.552, -0.209, -0.397, -0.515]
[2.294, 0.021, 0.1, 1.214, 1.244, 0.458, 0.079, 0.441, 23.96, 45.826, 0.406, 0.033, -0.006, 0.438, -0.292, -0.598, -0.603]
[3.594, 0.085, 0.141, 1.219, 0.147, 0.452, 2.649, 0.188, 20.951, 49.461, 0.786, 0.756, 0.44, -0.1, 0.268, 0.19, -0.938]
[2.155, 0.131, 0.087, 1.474, 0.158, 0.412, 1.93, 0.316, 11.08, 51.918, 0.706, 0.442, -1.194, 0.136, -0.54, -0.173, -0.065]
[0.926, 0.113, 0.009, 1.605, 0.591, 0.339, 1.03, 0.19, 17.913, 50.776, 0.22, 0.631, -1.452, 0.444, -0.182, -0.57, -0.55]
[2.678, 0.103, 0.091, 0.476, 0.0, 0.517, 2.833, 0.244, 18.064, 51.112, 0.603, 0.95, -0.208, 0.396, -0.581, -0.168, -0.299]
